# create tree
c

# insert 50 items
i 122
i 245
i 491
i 474
i 440
i 372
i 236
i 473
i 438
i 368
i 228
i 457
i 406
i 304
i 100
i 201
i 403
i 298
i 88
i 177
i 355
i 202
i 405
i 302
i 96
i 193
i 387
i 266
i 24
i 49
i 99
i 199
i 399
i 290
i 72
i 145
i 291
i 74
i 149
i 299
i 90
i 181
i 363
i 218
i 437
i 366
i 224
i 449
i 390
i 272

# do a traverse
P

# do 459 alternating deletes and inserts
d 122
i 36
d 245
i 73
d 491
i 147
d 474
i 295
d 440
i 82
d 372
i 165
d 236
i 331
d 473
i 154
d 438
i 309
d 368
i 110
d 228
i 221
d 457
i 443
d 406
i 378
d 304
i 248
d 100
i 497
d 201
i 486
d 403
i 464
d 298
i 420
d 88
i 332
d 177
i 156
d 355
i 313
d 202
i 118
d 405
i 237
d 302
i 475
d 96
i 442
d 193
i 376
d 387
i 244
d 266
i 489
d 24
i 470
d 49
i 432
d 99
i 356
d 199
i 204
d 399
i 409
d 290
i 310
d 72
i 112
d 145
i 225
d 291
i 451
d 74
i 394
d 149
i 280
d 299
i 52
d 90
i 105
d 181
i 211
d 363
i 423
d 218
i 338
d 437
i 168
d 366
i 337
d 224
i 166
d 449
i 333
d 390
i 158
d 272
i 317
d 36
i 126
d 73
i 253
d 147
i 507
d 295
i 506
d 82
i 504
d 165
i 500
d 331
i 492
d 154
i 476
d 309
i 444
d 110
i 380
d 221
i 252
d 443
i 505
d 378
i 502
d 248
i 496
d 497
i 484
d 486
i 460
d 464
i 412
d 420
i 316
d 332
i 124
d 156
i 249
d 313
i 499
d 118
i 490
d 237
i 472
d 475
i 436
d 442
i 364
d 376
i 220
d 244
i 441
d 489
i 374
d 470
i 240
d 432
i 481
d 356
i 454
d 204
i 400
d 409
i 292
d 310
i 76
d 112
i 153
d 225
i 307
d 451
i 106
d 394
i 213
d 280
i 427
d 52
i 346
d 105
i 184
d 211
i 369
d 423
i 230
d 338
i 461
d 168
i 414
d 337
i 320
d 166
i 132
d 333
i 265
d 158
i 22
d 317
i 45
d 126
i 91
d 253
i 183
d 507
i 367
d 506
i 226
d 504
i 453
d 500
i 398
d 492
i 288
d 476
i 68
d 444
i 137
d 380
i 275
d 252
i 42
d 505
i 85
d 502
i 171
d 496
i 343
d 484
i 178
d 460
i 357
d 412
i 206
d 316
i 413
d 124
i 318
d 249
i 128
d 499
i 257
d 490
i 6
d 472
i 13
d 436
i 27
d 364
i 55
d 220
i 111
d 441
i 223
d 374
i 447
d 240
i 386
d 481
i 264
d 454
i 20
d 400
i 41
d 292
i 83
d 76
i 167
d 153
i 335
d 307
i 162
d 106
i 325
d 213
i 142
d 427
i 285
d 346
i 62
d 184
i 125
d 369
i 251
d 230
i 503
d 461
i 498
d 414
i 488
d 320
i 468
d 132
i 428
d 265
i 348
d 22
i 188
d 45
i 377
d 91
i 246
d 183
i 493
d 367
i 478
d 226
i 448
d 453
i 388
d 398
i 268
d 288
i 28
d 68
i 57
d 137
i 115
d 275
i 231
d 42
i 463
d 85
i 418
d 171
i 328
d 343
i 148
d 178
i 297
d 357
i 86
d 206
i 173
d 413
i 347
d 318
i 186
d 128
i 373
d 257
i 238
d 6
i 477
d 13
i 446
d 27
i 384
d 55
i 260
d 111
i 12
d 223
i 25
d 447
i 51
d 386
i 103
d 264
i 207
d 20
i 415
d 41
i 322
d 83
i 136
d 167
i 273
d 335
i 38
d 162
i 77
d 325
i 155
d 142
i 311
d 285
i 114
d 62
i 229
d 125
i 459
d 251
i 410
d 503
i 312
d 498
i 116
d 488
i 233
d 468
i 467
d 428
i 426
d 348
i 344
d 188
i 180
d 377
i 361
d 246
i 214
d 493
i 429
d 478
i 350
d 448
i 192
d 388
i 385
d 268
i 262
d 28
i 16
d 57
i 33
d 115
i 67
d 231
i 135
d 463
i 271
d 418
i 34
d 328
i 69
d 148
i 139
d 297
i 279
d 86
i 50
d 173
i 101
d 347
i 203
d 186
i 407
d 373
i 306
d 238
i 104
d 477
i 209
d 446
i 419
d 384
i 330
d 260
i 152
d 12
i 305
d 25
i 102
d 51
i 205
d 103
i 411
d 207
i 314
d 415
i 120
d 322
i 241
d 136
i 483
d 273
i 458
d 38
i 408
d 77
i 308
d 155
i 108
d 311
i 217
d 114
i 435
d 229
i 362
d 459
i 216
d 410
i 433
d 312
i 358
d 116
i 208
d 233
i 417
d 467
i 326
d 426
i 144
d 344
i 289
d 180
i 70
d 361
i 141
d 214
i 283
d 429
i 58
d 350
i 117
d 192
i 235
d 385
i 471
d 262
i 434
d 16
i 360
d 33
i 212
d 67
i 425
d 135
i 342
d 271
i 176
d 34
i 353
d 69
i 198
d 139
i 397
d 279
i 286
d 50
i 64
d 101
i 129
d 203
i 259
d 407
i 10
d 306
i 21
d 104
i 43
d 209
i 87
d 419
i 175
d 330
i 351
d 152
i 194
d 305
i 389
d 102
i 270
